iter	Passed	Remaining
0	145	145801
1	147	73418
2	148	49353
3	149	37233
4	150	29983
5	152	25261
6	153	21820
7	155	19253
8	156	17194
9	157	15555
10	158	14230
11	159	13111
12	160	12166
13	161	11362
14	162	10648
15	163	10033
16	164	9506
17	166	9056
18	168	8678
19	169	8299
20	170	7968
21	172	7655
22	173	7376
23	174	7115
24	176	6872
25	177	6642
26	178	6436
27	179	6241
28	181	6060
29	182	5892
30	183	5737
31	184	5586
32	185	5446
33	186	5309
34	187	5180
35	188	5058
36	189	4941
37	190	4829
38	191	4726
39	192	4625
40	193	4529
41	194	4440
42	195	4359
43	197	4286
44	198	4210
45	199	4137
46	200	4065
47	201	3998
48	202	3934
49	203	3873
50	205	3814
51	206	3757
52	207	3704
53	208	3648
54	209	3597
55	210	3548
56	211	3505
57	213	3459
58	214	3415
59	215	3372
60	216	3327
61	217	3285
62	218	3244
63	219	3204
64	220	3165
65	221	3129
66	222	3093
67	223	3059
68	224	3024
69	225	2994
70	226	2965
71	228	2938
72	229	2908
73	229	2877
74	230	2848
75	231	2818
76	232	2790
77	233	2764
78	234	2738
79	235	2711
80	236	2685
81	237	2661
82	238	2631
83	239	2606
84	240	2583
85	241	2561
86	242	2544
87	243	2523
88	244	2503
89	245	2482
90	246	2461
91	247	2441
92	248	2421
93	249	2402
94	250	2383
95	251	2364
96	252	2347
97	253	2329
98	253	2311
99	254	2294
100	256	2279
101	257	2266
102	258	2251
103	259	2235
104	260	2219
105	261	2204
106	262	2188
107	263	2172
108	263	2157
109	264	2143
110	265	2129
111	266	2115
112	267	2101
113	268	2087
114	269	2074
115	270	2064
116	272	2053
117	273	2042
118	274	2029
119	275	2017
120	276	2005
121	276	1991
122	277	1979
123	278	1967
124	279	1955
125	280	1944
126	281	1932
127	282	1922
128	283	1911
129	284	1900
130	285	1896
131	287	1888
132	288	1878
133	289	1869
134	290	1859
135	291	1849
136	291	1839
137	292	1829
138	293	1819
139	294	1810
140	295	1801
141	296	1789
142	297	1780
143	298	1772
144	299	1763
145	300	1755
146	301	1748
147	302	1741
148	303	1733
149	304	1725
150	305	1716
151	306	1708
152	307	1699
153	307	1691
154	308	1683
155	309	1674
156	310	1667
157	311	1659
158	312	1651
159	313	1643
160	314	1638
161	315	1632
162	316	1626
163	317	1619
164	318	1612
165	319	1606
166	320	1598
167	321	1590
168	322	1583
169	322	1576
170	323	1569
171	324	1563
172	325	1556
173	326	1550
174	327	1543
175	328	1537
176	329	1532
177	330	1526
178	331	1520
179	332	1515
180	333	1510
181	334	1504
182	335	1498
183	336	1492
184	337	1487
185	338	1481
186	339	1475
187	340	1470
188	341	1464
189	342	1459
190	343	1454
191	344	1449
192	345	1444
193	346	1440
194	347	1435
195	348	1430
196	349	1425
197	350	1420
198	351	1415
199	352	1410
200	353	1405
201	354	1400
202	355	1395
203	356	1390
204	357	1386
205	358	1381
206	359	1376
207	360	1372
208	361	1368
209	362	1364
210	363	1360
211	364	1355
212	365	1351
213	366	1346
214	367	1341
215	368	1336
216	369	1332
217	370	1328
218	371	1323
219	372	1319
220	373	1315
221	373	1310
222	374	1306
223	375	1302
224	377	1298
225	378	1294
226	378	1290
227	379	1286
228	380	1282
229	381	1278
230	382	1273
231	383	1269
232	384	1266
233	385	1261
234	386	1258
235	387	1254
236	388	1249
237	389	1245
238	390	1242
239	391	1238
240	392	1235
241	393	1232
242	394	1228
243	395	1224
244	396	1220
245	396	1216
246	397	1212
247	398	1209
248	399	1205
249	400	1201
250	401	1197
251	402	1194
252	403	1190
253	404	1186
254	405	1183
255	406	1180
256	407	1177
257	408	1173
258	409	1170
259	409	1166
260	410	1162
261	411	1158
262	412	1155
263	412	1151
264	413	1147
265	414	1144
266	415	1140
267	416	1136
268	416	1133
269	417	1129
270	418	1126
271	419	1122
272	420	1119
273	421	1116
274	422	1113
275	423	1110
276	424	1107
277	424	1103
278	425	1100
279	426	1096
280	427	1093
281	428	1090
282	428	1086
283	429	1083
284	430	1080
285	431	1077
286	432	1073
287	433	1070
288	433	1067
289	434	1064
290	435	1061
291	436	1059
292	437	1056
293	438	1053
294	439	1050
295	440	1047
296	441	1045
297	442	1042
298	443	1039
299	444	1036
300	445	1033
301	445	1030
302	446	1027
303	447	1024
304	448	1021
305	449	1019
306	450	1016
307	451	1014
308	452	1012
309	453	1009
310	454	1007
311	455	1004
312	456	1001
313	457	998
314	458	996
315	458	993
316	459	990
317	460	988
318	461	985
319	462	982
320	463	979
321	463	976
322	464	974
323	465	972
324	467	970
325	468	968
326	469	965
327	470	963
328	470	960
329	471	957
330	472	955
331	473	952
332	474	949
333	475	947
334	475	944
335	476	942
336	477	939
337	478	937
338	479	934
339	480	932
340	481	930
341	482	928
342	483	926
343	484	924
344	485	921
345	486	919
346	487	916
347	487	914
348	488	911
349	489	908
350	490	906
351	491	903
352	491	901
353	492	899
354	493	896
355	494	894
356	495	892
357	496	891
358	498	889
359	498	886
360	499	884
361	500	882
362	501	879
363	502	877
364	502	875
365	503	872
366	504	870
367	505	868
368	506	865
369	507	863
370	507	861
371	508	858
372	509	856
373	510	854
374	511	853
375	512	850
376	513	848
377	514	846
378	515	844
379	516	842
380	516	839
381	517	837
382	518	835
383	519	833
384	520	831
385	521	829
386	522	826
387	523	824
388	523	822
389	524	820
390	525	819
391	527	817
392	528	815
393	528	813
394	529	811
395	530	809
396	531	807
397	532	804
398	532	802
399	533	800
400	534	798
401	535	796
402	536	794
403	537	792
404	538	790
405	538	788
406	539	786
407	540	784
408	542	783
409	543	781
410	543	779
411	544	777
412	545	775
413	546	773
414	547	771
415	547	769
416	548	767
417	549	765
418	550	763
419	551	761
420	552	759
421	553	757
422	554	755
423	555	754
424	556	752
425	557	751
426	558	749
427	559	747
428	560	745
429	561	743
430	561	741
431	562	739
432	563	738
433	564	736
434	565	734
435	566	732
436	567	730
437	568	729
438	569	727
439	569	725
440	570	723
441	572	722
442	573	720
443	573	718
444	574	716
445	575	715
446	576	713
447	577	711
448	578	709
449	579	707
450	579	705
451	580	704
452	581	702
453	582	700
454	583	698
455	584	697
456	585	695
457	586	693
458	587	692
459	588	690
460	589	689
461	590	687
462	591	685
463	592	683
464	592	682
465	593	680
466	594	678
467	595	677
468	596	675
469	597	673
470	598	672
471	599	670
472	600	668
473	601	667
474	602	665
475	603	664
476	604	662
477	605	660
478	606	659
479	606	657
480	607	655
481	608	654
482	609	652
483	610	651
484	611	649
485	612	647
486	613	646
487	614	644
488	615	642
489	616	641
490	617	640
491	618	638
492	619	637
493	620	635
494	621	633
495	622	632
496	622	630
497	623	628
498	624	627
499	625	625
500	626	623
501	627	622
502	628	620
503	629	619
504	630	618
505	631	616
506	632	615
507	633	613
508	634	612
509	635	610
510	636	609
511	637	607
512	638	605
513	639	604
514	640	602
515	640	601
516	641	599
517	642	598
518	643	596
519	644	594
520	645	593
521	646	591
522	647	590
523	648	589
524	649	587
525	650	586
526	651	584
527	652	582
528	652	581
529	653	579
530	654	578
531	655	576
532	656	575
533	657	573
534	658	572
535	659	570
536	660	569
537	661	567
538	662	566
539	663	564
540	664	563
541	665	562
542	666	560
543	667	559
544	667	557
545	668	556
546	669	554
547	670	553
548	671	551
549	672	550
550	673	548
551	674	547
552	675	546
553	676	544
554	677	543
555	678	542
556	679	540
557	680	539
558	681	537
559	682	536
560	683	534
561	684	533
562	685	532
563	686	530
564	687	529
565	688	528
566	689	526
567	690	525
568	692	524
569	693	523
570	694	521
571	695	520
572	696	519
573	697	517
574	698	516
575	699	514
576	700	513
577	701	511
578	701	510
579	702	509
580	703	507
581	704	506
582	706	505
583	707	504
584	708	502
585	709	501
